full_name,clone_url,default_branch,stargazers_count,last_pushed,license_spdx,license_class,language,archived
chinhnguyen/clean-starter,https://github.com/chinhnguyen/clean-starter.git,master,43,2022-12-22,MIT,permissive,TypeScript,False
chrisdone/emacs-config,https://github.com/chrisdone/emacs-config.git,master,126,2026-03-11,,unlicensed,Emacs Lisp,False
clembou/behave-pandas,https://github.com/clembou/behave-pandas.git,master,15,2024-11-12,MIT,permissive,Python,False
coddingtonbear/inthe.am,https://github.com/coddingtonbear/inthe.am.git,development,587,2024-01-03,AGPL-3.0,copyleft,Python,False
conforma/cli,https://github.com/conforma/cli.git,main,43,2026-04-19,Apache-2.0,permissive,Go,False
continuouspipe/continuouspipe,https://github.com/continuouspipe/continuouspipe.git,master,167,2023-01-09,Apache-2.0,permissive,PHP,False
coreshop/CoreShop,https://github.com/coreshop/CoreShop.git,5.0,288,2026-04-19,NOASSERTION,unknown,PHP,False
corvus-dotnet/Corvus.JsonSchema,https://github.com/corvus-dotnet/Corvus.JsonSchema.git,main,182,2026-04-19,Apache-2.0,permissive,C#,False
cross-solution/YAWIK,https://github.com/cross-solution/YAWIK.git,master,130,2023-08-30,MIT,permissive,PHP,False
cryptic-wizard/random-word-generator,https://github.com/cryptic-wizard/random-word-generator.git,main,18,2022-08-06,MIT,permissive,C#,False
cucumber/aruba,https://github.com/cucumber/aruba.git,main,963,2026-04-17,MIT,permissive,Ruby,False
cucumber/cucumber-js,https://github.com/cucumber/cucumber-js.git,main,5311,2026-04-18,MIT,permissive,TypeScript,False
cucumber/cucumber-rails,https://github.com/cucumber/cucumber-rails.git,main,1033,2026-04-17,MIT,permissive,Ruby,False
cucumber/cucumber-ruby,https://github.com/cucumber/cucumber-ruby.git,main,5212,2026-04-17,MIT,permissive,Ruby,False
cyberark/conjur,https://github.com/cyberark/conjur.git,master,916,2025-11-20,NOASSERTION,unknown,Ruby,False
danielsdeleo/Decider,https://github.com/danielsdeleo/Decider.git,master,383,2017-04-06,MIT,permissive,Ruby,False
danlucraft/redcar,https://github.com/danlucraft/redcar.git,master,990,2022-07-20,NOASSERTION,unknown,Ruby,False
datastax/php-driver,https://github.com/datastax/php-driver.git,master,437,2023-09-20,NOASSERTION,unknown,C,False
dfetch-org/dfetch,https://github.com/dfetch-org/dfetch.git,main,13,2026-04-18,MIT,permissive,Python,False
dhis2/ui,https://github.com/dhis2/ui.git,master,54,2026-04-18,BSD-3-Clause,permissive,JavaScript,False
diaspora/diaspora,https://github.com/diaspora/diaspora.git,develop,13731,2026-04-12,AGPL-3.0,copyleft,Ruby,False
ecukes/ecukes,https://github.com/ecukes/ecukes.git,master,203,2025-12-11,GPL-3.0,copyleft,Emacs Lisp,False
elct9620/mruby-go,https://github.com/elct9620/mruby-go.git,main,17,2024-10-24,MIT,permissive,Go,False
